id,xcenter,ycenter,aperture_sum,annulus_sum,RA,Dec,sky_per_pix_avg,sky_per_pix_med,sky_per_pix_std,fwhm_x,fwhm_y,width,aperture,aperture_area,annulus_inner,annulus_outer,annulus_area,exposure,date-obs,night,aperture_net_flux,BJD,mag_inst,airmass,filter,file,star_id,mag_error,noise,noise-aij,snr,mag_inst_cal,mag_inst_cal_error,a,b,c,d,z,mag_cat,color_cat,relative_flux,relative_flux_error,relative_flux_snr,comparison counts,comparison error
1,2056.931316470605,2045.934227343612,56596.11749649048,25380.96861344762,305.4585246042465,19.435805799620688,8.831234729800842,8.69663381576538,7.806532388077733,9.471553668443757,9.471553668443757,9.471553668443757,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:24:21.010,59794,54820.49239893724,2459795.7313423716,-7.0896323626804705,1.135,ip,TIC_402828941.01-S001-R001-C001-ip.fit,1,0.004315983027859976,326.88094080744963,217.92062720496642,251.5617410892248,12.466279953509945,0.0042677394197472825,-0.011177895696363375,-9.999999999969777e-07,-0.027350589626646046,9.999999999999997e-07,19.474664113416377,12.623000144958496,-0.07499980926513672,0.0017547863233838218,6.982229031698595e-06,251.3217935729799,31240551.438322578,5427.9493491673475
1,2057.871919465692,2046.596958296344,56798.59062576294,26083.01446582703,305.45852454465637,19.43581921039725,9.072352857678966,8.956710815429688,7.5705796692444345,8.940218396757311,8.940218396757311,8.940218396757311,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:26:58.978,59794,54974.485852101585,2459795.733170709,-7.092677973321205,1.133,ip,TIC_402828941.01-S001-R002-C001-ip.fit,1,0.004310107744405185,327.35293728530905,218.23529152353936,251.9046551468139,12.489119912616346,0.004260075169757269,-0.011608195807369479,-9.999999088403181e-07,-0.027588784275463196,9.999999999966762e-07,19.49744583808577,12.623000144958496,-0.07499980926513672,0.001716007083354017,6.81845153807745e-06,251.67108305617833,32036281.426444557,5480.440433624521
1,2057.885501378846,2045.83996565311,56100.09514427185,27639.445298022125,305.458520745572,19.435818045985425,9.623762290397675,9.4731125831604,7.613439421074347,9.051307906366244,9.051307906366244,9.051307906366244,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:29:37.770,59794,54165.12292594175,2459795.7350085843,-7.076574365271347,1.132,ip,TIC_402828941.01-S001-R003-C001-ip.fit,1,0.004353312004065191,325.7665334580543,217.1776889720362,249.4046381206131,12.503537977054673,0.004307444484283521,-0.010536235339630638,-9.999999999989695e-07,-0.026859574136631554,9.999999999999997e-07,19.503587498858813,12.623000144958496,-0.07499980926513672,0.0016945759691413724,6.800692250943313e-06,249.17698178539405,31963820.986666515,5479.667986422221
1,2061.8275145491807,2048.0042153189183,55398.66041183472,28327.55120008439,305.4585070482877,19.435810897177348,9.873667201144785,9.755653381347656,7.623133059363562,8.98097950503369,8.98097950503369,8.98097950503369,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:32:22.070,59794,53413.44182987587,2459795.736910209,-7.061401441848626,1.131,ip,TIC_402828941.01-S001-R004-C001-ip.fit,1,0.004392747443300829,324.15575572901446,216.1038371526763,247.16563358446768,12.50964508548282,0.0043410424041724315,-0.011770546746831678,-9.999999783850752e-07,-0.028363374890757655,9.999999999994352e-07,19.48585258169661,12.623000144958496,-0.07499980926513672,0.0016822023442492433,6.812137654715128e-06,246.94191889749624,31752090.949388117,5469.497401053464
1,2062.6755819548475,2047.812135927276,55335.77063369751,29458.31231309696,305.4585164255419,19.43582639343834,10.242806784804229,10.211524486541748,7.731874510557925,8.887921302575664,8.887921302575664,8.887921302575664,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:35:06.040,59794,53276.332134671546,2459795.7388080144,-7.0586108268435055,1.13,ip,TIC_402828941.01-S001-R005-C001-ip.fit,1,0.004402238336665253,324.0222312014023,216.01482080093487,246.63276314622658,12.522633227499831,0.004352858591659388,-0.011216963105925418,-9.99999999995763e-07,-0.028077351745254206,9.999999999999997e-07,19.500011899470216,12.623000144958496,-0.07499980926513672,0.0016645740224676716,6.7552296239248945e-06,246.41264844236753,32005985.56481813,5486.374232609456
1,2064.9953237310656,2047.669176633197,52903.274061203,27828.254098534584,305.4584969054867,19.43582569599941,9.676027155262373,9.605173110961914,7.6941505446755745,9.398554734842172,9.398554734842172,9.398554734842172,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:37:49.570,59794,50957.793368280916,2459795.7407007273,-7.010301566085228,1.129,ip,TIC_402828941.01-S001-R006-C001-ip.fit,1,0.004521586434527682,318.3232715733427,212.21551438222846,240.12284642158218,12.534102542317441,0.004458907202121275,-0.013862221437983893,-9.999999619976315e-07,-0.031019949097361183,9.999999999999597e-07,19.44494840432307,12.623000144958496,-0.07499980926513672,0.0016456259314928357,6.859318524132837e-06,239.91099490468372,30965599.406940777,5420.602651170478
1,2061.5330428628986,2046.2516255215544,53398.19859409332,27335.01275051385,305.45851556823345,19.435815844492108,9.53103652388907,9.442790031433105,7.773459999897216,9.310196343544183,9.310196343544183,9.310196343544183,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:40:39.030,59794,51481.869997322385,2459795.7426620745,-7.021410816463894,1.128,ip,TIC_402828941.01-S001-R007-C001-ip.fit,1,0.004491855207060839,319.4824462218727,212.98829748124845,241.71220018252345,12.525203117768363,0.004425560499610065,-0.014758870087033034,-9.999999682351978e-07,-0.03229825649106278,9.999999999998217e-07,19.44061277571604,12.623000144958496,-0.07499980926513672,0.001658722705101355,6.868507767662477e-06,241.49680850777568,31037056.307839364,5424.410208457401
1,2065.059624768537,2047.6106095388056,52979.40674495697,27663.682815960296,305.4584885560768,19.435831722691315,9.602111355765462,9.480473518371582,7.648303459967842,9.074475901185004,9.074475901185004,9.074475901185004,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:43:17.370,59794,51048.78770532664,2459795.744494718,-7.012238615074107,1.128,ip,TIC_402828941.01-S001-R008-C001-ip.fit,1,0.004516034676522486,318.5001491292582,212.3334327528388,240.4180398889357,12.53586148833519,0.004470409571284363,-0.010102912954879133,-9.999999999975124e-07,-0.023110405411032754,9.999999999999997e-07,19.475571956982485,12.623000144958496,-0.07499980926513672,0.0016384332037414004,6.820922440574291e-06,240.2069834418835,31157075.911764696,5433.835810839985
1,2060.146868020528,2045.2849621644152,54580.516607284546,28675.7139502911,305.4584947923911,19.435824179322264,9.956845121628854,9.75793743133545,7.895738410212046,8.442209748510082,8.442209748510082,8.442209748510082,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:45:55.740,59794,52578.57411211395,2459795.7463277085,-7.0442970430682195,1.127,ip,TIC_402828941.01-S001-R009-C001-ip.fit,1,0.004436399307486904,322.25997720085866,214.83998480057244,244.7336521687087,12.541309389736899,0.004391472170943841,-0.010126937056193927,-9.999999999944964e-07,-0.0291275492262523,9.999999999999997e-07,19.512134335785426,12.623000144958496,-0.07499980926513672,0.0016378710077556416,6.698329135557824e-06,244.519338272147,32101779.60483094,5493.057136513906
1,2060.51284170067,2044.2439463914443,54318.55807304382,27276.198906342885,305.4585049497133,19.435819598223176,9.50721467631331,9.45467758178711,7.77686640345526,8.337229718637616,8.337229718637616,8.337229718637616,8.0,201.06192982974676,23.0,38.0,2874.5572780346606,120.0,2022-08-04T05:48:33.609,59794,52407.01914291858,2459795.7481549,-7.040748677979734,1.127,ip,TIC_402828941.01-S001-R010-C001-ip.fit,1,0.004442289917129278,321.63499520409056,214.42333013606037,244.40912800703256,12.544427755549613,0.004411296680115892,-0.006976860491225066,-9.999999689311074e-07,-0.020965547125962953,9.999999999990273e-07,19.534531266791713,12.623000144958496,-0.07499980926513672,0.0016296669633518634,6.673595808780281e-06,244.19623394149102,32158115.93500611,5495.346802277735
